to_hop_thi,ma_nganh,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,nguon,j_nganh,ma_nhom
D01,7340101,5.0,,7.4,8.25,,,,,,,ttth,2,1
A00,7480201,,,,8.25,,,,7.5,7.2,,ttth,16,0
A00,7340122,,,,7.5,,,,7.75,8.0,,ttth,5,1
D01,7340201,6.5,,7.8,8.2,,,,,,,ttth,8,2
A00,7850101,,,,7.8,,,,6.75,7.75,,ttth,38,7
D01,7380107,8.25,,5.8,7.0,,,,,,,ttth,12,8
D01,7340115,8.0,,7.2,7.25,,,,,,,ttth,3,1
A01,7540101,,,8.2,8.25,,,,8.0,,,ttth,28,7
D01,7520115,5.6,,7.8,6.75,,,,,,,ttth,27,6
A00,7340101,,,,7.0,,,,7.0,7.0,,ttth,2,1
D01,7810202,6.0,,8.0,7.25,,,,,,,ttth,35,4
D01,7340122,6.8,,8.4,7.25,,,,,,,ttth,5,1
D01,7810103,4.4,,6.8,7.25,,,,,,,ttth,33,4
A00,7380107,,,,7.25,,,,7.5,7.6,,ttth,12,8
D01,7480201,6.8,,7.0,7.75,,,,,,,ttth,16,0
A00,7540101,,,,7.25,,,,7.25,6.4,,ttth,28,7
A00,7510401,,,,6.8,,,,6.0,6.25,,ttth,22,6
A00,7480202,,,,4.5,,,,7.0,6.8,,ttth,17,0
D01,7510301,7.0,,7.0,7.2,,,,,,,ttth,20,5
A00,7380107,,,,7.75,,,,7.5,7.0,,ttth,12,8
D01,7510202,6.4,,7.2,5.75,,,,,,,ttth,18,5
A00,7340301,,,,6.25,,,,7.0,6.6,,ttth,10,2
A00,7480201,,,,8.4,,,,7.5,7.75,,ttth,16,0
A00,7340201,,,,8.4,,,,7.5,7.0,,ttth,8,2
D01,7480201,9.2,,6.4,7.0,,,,,,,ttth,16,0
A00,7810201,,,,8.6,,,,6.75,7.75,,ttth,34,4
D01,7340115,7.2,,7.6,8.75,,,,,,,ttth,3,1
A01,7480201,,,8.2,8.25,,,,7.4,,,ttth,16,0
A00,7340122,,,,7.0,,,,7.25,7.4,,ttth,5,1
D01,7220204,8.2,,7.6,8.0,,,,,,,ttth,1,8
D01,7340101,8.5,,8.0,8.0,,,,,,,ttth,2,1
D07,7480201,,,7.0,7.75,,,,,8.6,,ttth,16,0
D01,7810201,7.75,,7.2,7.4,,,,,,,ttth,34,4
D01,7220204,7.75,,7.4,7.4,,,,,,,ttth,1,8
D01,7340201,8.0,,7.8,6.75,,,,,,,ttth,8,2
D07,7480201,,,8.2,7.25,,,,,8.0,,ttth,16,0
D07,7480201,,,7.4,8.0,,,,,7.4,,ttth,16,0
D01,7340115,8.6,,7.8,8.0,,,,,,,ttth,3,1
A01,7480202,,,7.6,8.2,,,,7.0,,,ttth,17,0
D01,7340129,7.5,,7.8,5.6,,,,,,,ttth,7,7
A00,7510303,,,,7.0,,,,7.25,6.8,,ttth,21,5
A00,7340115,,,,7.25,,,,7.25,8.6,,ttth,3,1
A00,7510406,,,,6.5,,,,5.75,7.4,,ttth,24,7
D01,7340301,8.25,,7.6,7.2,,,,,,,ttth,10,2
D01,7480201,6.6,,7.0,7.5,,,,,,,ttth,16,0
D01,7220204,7.0,,7.4,8.6,,,,,,,ttth,1,8
